"taskId","suite","repeat","variant","passed","functionalPass","termination","failureReason","workerAttempts","workerDispatched","workerSuccessfulResponses","modelRequests","toolStarts","toolCalls","skippedToolStarts","toolErrors","exactRepeatCount","consecutiveRepeatCount","dispatchedExactRepeatCount","dispatchedConsecutiveRepeatCount","readBackCount","observationOnly","peakRequestChars","peakEstimatedInputTokens","thresholdRequests","eligibleCompactionRequests","inputTokens","outputTokens","knownInputTokens","knownOutputTokens","changedPaths","publicPassed","publicPassedTests","publicFailedTests","publicFailedNames","acceptancePassed","acceptancePassedTests","acceptanceFailedTests","acceptanceFailedNames"
"b01-normalize","S","1","baseline","true","true","completed","null","5","5","5","5","5","5","0","0","1","0","1","0","1","0","4959","1119","0","0","5075","466","5075","466","normalize.mjs","true","3","0","","true","5","0",""
"b02-counter","S","1","baseline","true","true","completed","null","4","4","4","4","4","4","0","0","0","0","0","0","0","0","5714","1318","0","0","4507","555","4507","555","counter.mjs","true","3","0","","true","5","0",""
"b03-config","S","1","baseline","true","true","completed","null","8","8","8","8","8","8","0","0","3","1","3","1","3","0","19317","4677","0","0","19204","2429","19204","2429","config.mjs","true","3","0","","true","8","0",""
"f01-tags","S","1","baseline","true","true","completed","null","5","5","5","5","5","5","0","0","1","0","1","0","1","0","5864","1345","0","0","5499","884","5499","884","tags.mjs","true","3","0","","true","5","0",""
"f02-pagination","S","1","baseline","true","true","completed","null","3","3","3","3","2","2","0","0","0","0","0","0","0","0","4179","954","0","0","2814","507","2814","507","pagination.mjs","true","2","0","","true","4","0",""
"f03-ranges","S","1","baseline","true","true","completed","null","5","5","5","5","5","5","0","0","1","0","1","0","1","0","7043","1640","0","0","6330","906","6330","906","ranges.mjs","true","2","0","","true","5","0",""
"h01-config-pipeline","H","1","baseline","false","true","tool_limit","tool_limit","11","11","11","11","25","24","1","3","6","0","5","0","4","0","29097","6989","2","2","51192","4041","51192","4041","src/env-config.mjs;src/merge.mjs;src/validate.mjs","true","4","0","","true","10","0",""
"h02-chunk-parser","H","1","baseline","false","false","model_error","model_error","3","3","2","3","13","13","0","0","0","0","0","0","0","0","14601","3458","0","0","6500","4560","6500","4560","","false","3","2","CRLF split across chunks ends one record;doubled quotes unescape across chunks","false","4","5","every two-way chunk split matches whole input;quoted CRLF is preserved and outside CRLF is a delimiter;doubled quotes spanning chunks become one quote;open quote and bare CR have distinct errors;both consumers preserve quoted contents and count the same rows"
"h03-module-navigation","H","1","baseline","true","true","completed","null","11","11","11","11","24","24","0","0","7","0","7","0","6","0","24645","5857","0","0","39683","2789","39683","2789","entry.mjs;registry.mjs","true","4","0","","true","8","0",""
"h04-issue-refactor","H","1","baseline","false","true","tool_limit","tool_limit","8","8","8","8","25","24","1","0","5","0","4","0","4","0","18792","4435","0","0","28541","1607","28541","1607","consumers/activity.mjs;consumers/list.mjs;consumers/search.mjs;normalize.mjs;serialize.mjs","true","3","0","","true","7","0",""
"m01-report","S","1","baseline","false","false","completed","acceptance_test","8","8","8","8","11","11","0","0","4","0","4","0","3","0","19513","4698","0","0","24247","2817","24247","2817","parser.mjs;report.mjs","true","2","0","","false","4","1","overflow in row and aggregate is rejected"
"m02-options","S","1","baseline","false","false","completed","acceptance_test","5","5","5","5","11","11","0","0","3","0","3","0","3","0","12365","2915","0","0","9037","1407","9037","1407","defaults.mjs;formatter.mjs;resolver.mjs","true","2","0","","false","3","1","invalid overrides and values use specified errors"
"b01-normalize","S","2","baseline","true","true","completed","null","6","6","6","6","5","5","0","0","1","0","1","0","1","0","5482","1249","0","0","6246","680","6246","680","normalize.mjs","true","3","0","","true","5","0",""
"b02-counter","S","2","baseline","true","true","completed","null","4","4","4","4","4","4","0","0","0","0","0","0","0","0","5657","1304","0","0","4299","511","4299","511","counter.mjs","true","3","0","","true","5","0",""
"b03-config","S","2","baseline","true","true","completed","null","10","10","10","10","9","9","0","0","4","0","4","0","3","0","21434","5195","0","0","24623","3008","24623","3008","config.mjs","true","3","0","","true","8","0",""
"f01-tags","S","2","baseline","true","true","completed","null","6","6","6","6","6","6","0","0","2","0","2","0","1","0","6274","1437","0","0","7159","1079","7159","1079","tags.mjs","true","3","0","","true","5","0",""
"f02-pagination","S","2","baseline","true","true","completed","null","3","3","3","3","2","2","0","0","0","0","0","0","0","0","4182","955","0","0","2819","501","2819","501","pagination.mjs","true","2","0","","true","4","0",""
"f03-ranges","S","2","baseline","true","true","completed","null","5","5","5","5","5","5","0","0","1","0","1","0","1","0","7628","1786","0","0","6681","1079","6681","1079","ranges.mjs","true","2","0","","true","5","0",""
"h01-config-pipeline","H","2","baseline","false","true","tool_limit","tool_limit","12","12","12","12","25","24","1","4","5","0","4","0","4","0","30485","7316","4","4","60089","3765","60089","3765","src/env-config.mjs;src/merge.mjs;src/validate.mjs","true","4","0","","true","10","0",""
"h02-chunk-parser","H","2","baseline","false","true","tool_limit","tool_limit","8","8","8","8","25","24","1","3","8","0","7","0","6","0","44989","10993","5","3","51271","9133","51271","9133","src/state.mjs","true","5","0","","true","9","0",""
"h03-module-navigation","H","2","baseline","true","true","completed","null","11","11","11","11","22","22","0","0","5","0","5","0","4","0","23965","5706","0","0","40006","3000","40006","3000","entry.mjs;registry.mjs","true","4","0","","true","8","0",""
"h04-issue-refactor","H","2","baseline","false","true","tool_limit","tool_limit","4","4","4","4","25","24","1","0","5","0","4","0","4","0","18116","4271","0","0","11234","1437","11234","1437","consumers/activity.mjs;consumers/list.mjs;consumers/search.mjs;normalize.mjs;serialize.mjs","true","3","0","","true","7","0",""
"m01-report","S","2","baseline","false","false","completed","acceptance_test","5","5","5","5","8","8","0","0","2","0","2","0","2","0","12994","3100","0","0","9777","1961","9777","1961","parser.mjs;report.mjs","true","2","0","","false","4","1","overflow in row and aggregate is rejected"
"m02-options","S","2","baseline","true","true","completed","null","5","5","5","5","11","11","0","0","3","0","3","0","3","0","12295","2898","0","0","9004","1464","9004","1464","defaults.mjs;formatter.mjs;resolver.mjs","true","2","0","","true","4","0",""
"b01-normalize","S","3","baseline","true","true","completed","null","4","4","4","4","3","3","0","0","1","0","1","0","1","0","3816","853","0","0","3437","443","3437","443","normalize.mjs","true","3","0","","true","5","0",""
"b02-counter","S","3","baseline","true","true","completed","null","3","3","3","3","2","2","0","0","0","0","0","0","0","0","4140","945","0","0","2745","429","2745","429","counter.mjs","true","3","0","","true","5","0",""
"b03-config","S","3","baseline","true","true","completed","null","7","7","7","7","6","6","0","0","1","0","1","0","1","0","13648","3280","0","0","12099","2134","12099","2134","config.mjs","true","3","0","","true","8","0",""
"f01-tags","S","3","baseline","true","true","completed","null","6","6","6","6","6","6","0","0","2","0","2","0","1","0","6274","1437","0","0","7159","1116","7159","1116","tags.mjs","true","3","0","","true","5","0",""
"f02-pagination","S","3","baseline","true","true","completed","null","4","4","4","4","3","3","0","0","1","0","1","0","1","0","5258","1214","0","0","4276","567","4276","567","pagination.mjs","true","2","0","","true","4","0",""
"f03-ranges","S","3","baseline","true","true","completed","null","6","6","6","6","6","6","0","0","2","0","2","0","2","0","9098","2143","0","0","9341","1547","9341","1547","ranges.mjs","true","2","0","","true","5","0",""
"h01-config-pipeline","H","3","baseline","false","true","tool_limit","tool_limit","9","9","9","9","25","24","1","3","5","0","4","0","4","0","28710","6913","2","2","39189","4331","39189","4331","src/env-config.mjs;src/merge.mjs;src/validate.mjs","true","4","0","","true","10","0",""
"h02-chunk-parser","H","3","baseline","false","false","model_error","model_error","3","3","2","3","13","13","0","0","0","0","0","0","0","0","14601","3458","0","0","6500","4560","6500","4560","","false","3","2","CRLF split across chunks ends one record;doubled quotes unescape across chunks","false","4","5","every two-way chunk split matches whole input;quoted CRLF is preserved and outside CRLF is a delimiter;doubled quotes spanning chunks become one quote;open quote and bare CR have distinct errors;both consumers preserve quoted contents and count the same rows"
"h03-module-navigation","H","3","baseline","true","true","completed","null","11","11","11","11","22","22","0","0","5","0","5","0","4","0","25361","6055","0","0","40172","3199","40172","3199","entry.mjs;registry.mjs","true","4","0","","true","8","0",""
"h04-issue-refactor","H","3","baseline","false","true","tool_limit","tool_limit","8","8","8","8","25","24","1","0","5","0","4","0","4","0","18956","4476","0","0","28680","1609","28680","1609","consumers/activity.mjs;consumers/list.mjs;consumers/search.mjs;normalize.mjs;serialize.mjs","true","3","0","","true","7","0",""
"m01-report","S","3","baseline","false","false","completed","acceptance_test","6","6","6","6","9","9","0","0","3","0","3","0","2","0","13853","3304","0","0","13717","2257","13717","2257","parser.mjs;report.mjs","true","2","0","","false","4","1","overflow in row and aggregate is rejected"
"m02-options","S","3","baseline","true","true","completed","null","6","6","6","6","12","12","0","0","4","0","4","0","3","0","12672","2981","0","0","12255","2255","12255","2255","defaults.mjs;formatter.mjs;resolver.mjs","true","2","0","","true","4","0",""
