"taskId","repeat","path","previousStartSeq","currentStartSeq","previousCallId","currentCallId","previousOk","currentOk","successfulReadBack","comparableOutputs","sameVisibleOutput","previousOutputSha256","currentOutputSha256","interveningSuccessfulMutations"
"b01-normalize","1","normalize.mjs","14","31","call_00_rDyOnegJSvEjntDP9Dxb2954","call_00_zrAcI1uFi9XtIsiwejRU9143","true","true","true","true","false","702d3ec9d0de629f5482903eab60d025b3ea6409c6d0cf07a3ca4c85acf7622a","e8caae1896d8033087581433a4127c5d66c4f3f2bef489f337e3bce7f55dfc72","[{""name"":""edit_file"",""callId"":""call_00_YEYmJx74juXWnZqTwJCK1343"",""startSeq"":24,""endSeq"":25}]"
"b03-config","1","config.mjs","14","31","call_00_5lz9vc0hKYrqMmiz6MMh4290","call_00_fDuLWpwXIv5FIjS7VbxK0250","true","true","true","true","false","123dfdc2781c0bd9c5129e10510d5984b37a44beb54c07e4e04f5f32dc3c5730","1cd2ecdd24a8bd1170c74001e6fedf25601380f95bd934fe1daef363ac29f9b9","[{""name"":""write_file"",""callId"":""call_00_ocWKgsx74VkQkCme9mAR1057"",""startSeq"":24,""endSeq"":25}]"
"b03-config","1","config.mjs","31","45","call_00_fDuLWpwXIv5FIjS7VbxK0250","call_00_zZhlrARNafdcpGVWPx5Y2664","true","true","true","true","false","1cd2ecdd24a8bd1170c74001e6fedf25601380f95bd934fe1daef363ac29f9b9","5cb852003ffae4c3c44301e0bca108e51e72f5f386ea89414c2a2800b2852aa3","[{""name"":""write_file"",""callId"":""call_00_Ouo30TCsb0CR4H9gfkkO9851"",""startSeq"":38,""endSeq"":39}]"
"b03-config","1","config.mjs","45","52","call_00_zZhlrARNafdcpGVWPx5Y2664","call_00_EnqGCGY1EsCDsbCijh5e0068","true","true","true","true","true","5cb852003ffae4c3c44301e0bca108e51e72f5f386ea89414c2a2800b2852aa3","5cb852003ffae4c3c44301e0bca108e51e72f5f386ea89414c2a2800b2852aa3","[]"
"f01-tags","1","tags.mjs","14","31","call_00_8ELXwx7mzNUYeGKcBVaA1675","call_00_fcRS6UTCWkN3YylvdmZ84861","true","true","true","true","false","852fa85117b3195be444424da3017b666a8a41668f9d01992b15f9342f156bd8","c01bd123244a7794f5622263dd8dcb09b6781fb5ceffdd2d9e4d4af325d66c13","[{""name"":""write_file"",""callId"":""call_00_GZJKO7QbQmAT0ooDchEw9293"",""startSeq"":24,""endSeq"":25}]"
"f03-ranges","1","ranges.mjs","14","31","call_00_oaagwbsNmZonPRDWlHuC4933","call_00_WdrhhQqUlsP7KkczqjNx6920","true","true","true","true","false","f43c1cafe156f86886a63252753837bfd8b57f18b315b6a984e6cf14c351f2b9","377353aa907c33a57de094ab73df93dd0e56db51f7cb38c2a2914685823cf32a","[{""name"":""write_file"",""callId"":""call_00_h4wiAYNIH8MeW05nIWHr9281"",""startSeq"":24,""endSeq"":25}]"
"h01-config-pipeline","1","src/merge.mjs","35","89","call_07_eokHh1iNatggWydG5Drh0669","call_00_uBl3aRGfqycOpeB1gqTq2153","true","true","true","true","false","4aa593488bb78234db26dba2e478ed840907b5b9a3339f9fea386ebeb02e55d4","b394cc6145081211219e7a5f495c4c5c50b381d498e9a45fc5c33d0cced8cda1","[{""name"":""write_file"",""callId"":""call_00_Yd7y298JDhqNqYTBayrN9496"",""startSeq"":54,""endSeq"":55}]"
"h01-config-pipeline","1","src/file-config.mjs","26","92","call_04_IAkj36roUc5uRMdV8cwz8247","call_01_psGV5idqnxAUloyALaiM1961","true","true","true","true","true","f92ec1a8c0637835eb54496bb8ca6a195e1613aaba6d3db9d9943fd295855d63","f92ec1a8c0637835eb54496bb8ca6a195e1613aaba6d3db9d9943fd295855d63","[]"
"h01-config-pipeline","1","src/env-config.mjs","23","113","call_03_tkemrpoJk25fS4X4byk10834","call_00_6uHSOT7KmoNI5f6axqJ55228","true","true","true","true","false","fe0eecff2b015b29b00d5e44520939211150093169d6c6cfb7748ee0e5545f44","088d2863e0e69c3eb38de162fdc2e9f3615181841b5eb7ade82d2d18feb66d84","[{""name"":""edit_file"",""callId"":""call_00_7Xxvtk7Q1KlI4U6teIHx7726"",""startSeq"":75,""endSeq"":76}]"
"h01-config-pipeline","1","src/validate.mjs","38","116","call_08_WjdozoOQNBD8Z0qUuPZW7405","call_01_aU4bFbH6gPI0YFFQ5okb5656","true","true","true","true","false","c7356ab18f692343d74a6059121ebef01dd81a95b7b9259895de0fb183d470b8","117d5940cdab19e3f38131211f4c0c2e0024ed0e72083799d1a0b4ec33b1f2b6","[{""name"":""edit_file"",""callId"":""call_00_Bxxw2bpv0oMz8Is5r9AY3610"",""startSeq"":82,""endSeq"":83}]"
"h03-module-navigation","1","registry.mjs","17","82","call_01_061qUyAWucR0rRcsY6b84884","call_00_WfhU4mh5w5U2TbuQbch02338","true","true","true","true","false","dfe590a0eb455539b113defb58e8a1477f53a797dd495e6e92983ca89f9dae46","14a45126a9ec788bc1b938ca40fdc3d7457f1b65b7be9d32b9fe5a55b0b52d21","[{""name"":""write_file"",""callId"":""call_00_LPVsLY2t3i3beGCCnDrp7515"",""startSeq"":68,""endSeq"":69}]"
"h03-module-navigation","1","entry.mjs","14","85","call_00_Y30MdUUFrBRZf8ZH5SqT7213","call_01_1Dsqe8Pr487pl1AfJQw20665","true","true","true","true","false","963afba4644456a94d69f02f71d86609c2008526ffc37a18dbf1629357cf41a0","3a98d6a8c81a230d85d36926bd954edcb671c7444189f891ca466cf6de4d0c08","[{""name"":""write_file"",""callId"":""call_00_HmthcCcOdQlzpbFL7g5C3241"",""startSeq"":75,""endSeq"":76}]"
"h03-module-navigation","1","legacy.mjs","23","99","call_03_vyxGOIA27r2nx5i9WOPf4660","call_00_qCIETQdy7XJFOomHUULv3925","true","true","true","true","true","130a8e74eedb3b5fc146ae7b25d10f200c592ddb23ce1a59759393c4e76fc662","130a8e74eedb3b5fc146ae7b25d10f200c592ddb23ce1a59759393c4e76fc662","[]"
"h03-module-navigation","1","routes/dynamic.mjs","33","102","call_01_bkCLxnbvCDdCwuLJKN6E5683","call_01_EptKXeh5QOsOLGNeUHTQ0629","true","true","true","true","true","d5a27bbdd2ea5679e23c3e43854fd11f8748f323252cdb78f8ebb0a6780de882","d5a27bbdd2ea5679e23c3e43854fd11f8748f323252cdb78f8ebb0a6780de882","[]"
"h03-module-navigation","1","entry.mjs","85","109","call_01_1Dsqe8Pr487pl1AfJQw20665","call_00_KrTlbGxz7e506g0UAH4n1712","true","true","true","true","true","3a98d6a8c81a230d85d36926bd954edcb671c7444189f891ca466cf6de4d0c08","3a98d6a8c81a230d85d36926bd954edcb671c7444189f891ca466cf6de4d0c08","[]"
"h03-module-navigation","1","registry.mjs","82","112","call_00_WfhU4mh5w5U2TbuQbch02338","call_01_mE764RZ6vUqXqYobRxbI0629","true","true","true","true","true","14a45126a9ec788bc1b938ca40fdc3d7457f1b65b7be9d32b9fe5a55b0b52d21","14a45126a9ec788bc1b938ca40fdc3d7457f1b65b7be9d32b9fe5a55b0b52d21","[]"
"h04-issue-refactor","1","normalize.mjs","14","95","call_00_l5knOD26YzWqqhiDsHjk2571","call_00_mIIGNZvIs9g7E3W61PE99391","true","true","true","true","false","d6aeea44b071654e31460df3849427926c464b8c92fdcaeb68402a049c0ed5e0","e3c0320aa62629f8057da983e57152ea5f5e356c0952eefd3a0b361cdc801b45","[{""name"":""write_file"",""callId"":""call_00_aANECQuuoqMBqPdxdu6c7670"",""startSeq"":60,""endSeq"":61}]"
"h04-issue-refactor","1","consumers/list.mjs","20","98","call_02_4wigzf6QcIA443xmUCZK6065","call_01_G415xx4zNAZZA8KvSN1E1774","true","true","true","true","false","c3c7487d1bf125375c8de9e30615ab85f04a9ab4f4670fdd1a60488655a0d8ef","2c928b446fcc5968ba31f9f993ea0fcfb9be3a4aeade20538ee25fab4ec6fe06","[{""name"":""write_file"",""callId"":""call_00_rtH60VuleZyU1z4Tb5gY8998"",""startSeq"":67,""endSeq"":68}]"
"h04-issue-refactor","1","consumers/search.mjs","23","101","call_03_rjK1RpnoK4V1dz3201wO4491","call_02_mZ08wloyAWaiaSRiYM0b1112","true","true","true","true","false","beb0f59d44b5b81700ddd331f587426416a049a42e704a7031975c759f6595c4","e657d7d79f1851a643143676e5e8caff4ba4777a157a6a6bd15379c60fa78213","[{""name"":""write_file"",""callId"":""call_00_9pAzdzcpfqUksxKDRVta0706"",""startSeq"":74,""endSeq"":75}]"
"h04-issue-refactor","1","consumers/activity.mjs","26","104","call_04_oBo6WjuZk3SYecxrlP8L0643","call_03_xojkn6QEcNC8E2TOG4c56798","true","true","true","true","false","1a001c5ac9cf9c17946335da7566de7a8e64543f7b7e68dd48d6e12c445c224d","cd2b2d71ce25f5ef8ff0d09e91c7bb6f212e6c0d531f20d49365db2cf2c4e0f5","[{""name"":""write_file"",""callId"":""call_00_sKDFnm9Za2hViUDG6TLJ0022"",""startSeq"":81,""endSeq"":82}]"
"m01-report","1","report.mjs","17","37","call_01_dSD9X3oyz7GYDYAW3X9s5991","call_00_d3VKDkB1FgqQr78SIvxa0522","true","true","true","true","false","62108370ca22a7cfc7977eeb0261fc6e443315069b45cde9b116896dfaff21a1","c58e7535e2c36238eac5fe5cbe97da8fdb5fc8c292b8855a6213cb71cbdaff56","[{""name"":""write_file"",""callId"":""call_01_N1GSxuwYOkprH09uM4zW8829"",""startSeq"":30,""endSeq"":31}]"
"m01-report","1","parser.mjs","14","40","call_00_0QLyuHvA7wiPIzulCW2Y4123","call_01_M96rE3WKxeNujdPy7Pjl0949","true","true","true","true","false","5e9db7e9d57fd9e79d9c1f43e9759f85bbfd4fabc4085c00e7777b9570fd533e","3a91667d3a3d4eb5c5b8fea0eab5a2a48eae34a6b8e218b03f5faa1d4072cad6","[{""name"":""write_file"",""callId"":""call_00_lTdLOxirrBuZghg2L92w0515"",""startSeq"":27,""endSeq"":28}]"
"m01-report","1","parser.mjs","40","61","call_01_M96rE3WKxeNujdPy7Pjl0949","call_00_6F2WtbjGtNmTtNnvBWCG9741","true","true","true","true","false","3a91667d3a3d4eb5c5b8fea0eab5a2a48eae34a6b8e218b03f5faa1d4072cad6","ba81eae96c92a991c062feefd950fbf6f5614e2b32279ca82d311de8c4f52a41","[{""name"":""edit_file"",""callId"":""call_00_uAiyN9GN44UZAZz2G5Y98597"",""startSeq"":54,""endSeq"":55}]"
"m02-options","1","defaults.mjs","14","43","call_00_Zd48XJwS1VXxyDuUQhEP8860","call_00_wCfRnSIRVuOYzzh2A9zy0587","true","true","true","true","false","3ad59ce476bd535040ad1f2a9735f1e62306eef6fdf2ee72dcd1b123f3b677d8","19c3c91218973317e6c16047d704a7a0730d16e0af566a1eb10d92063c099065","[{""name"":""write_file"",""callId"":""call_00_Lg9BjS1eUiYSxgYpBJyE1720"",""startSeq"":30,""endSeq"":31}]"
"m02-options","1","resolver.mjs","20","46","call_02_EffIkUfFVSpVUvWbP1pE1510","call_01_8TcQASPkCNHZB6qkjMlq2749","true","true","true","true","false","e6254244b857c5f137242f3219262ed8ee8eb9a721dea6591862b14de7cf5ec4","488306558efbfeb58b7320a2522a005977f409a7ea735e80ba390dd540ac190d","[{""name"":""write_file"",""callId"":""call_01_nJ6C36Rsfg5CmjemIE675105"",""startSeq"":33,""endSeq"":34}]"
"m02-options","1","formatter.mjs","17","49","call_01_bBK9krr20GlrgJfpGbhM2802","call_02_DargfFVtCRSfr8MvlB0y1688","true","true","true","true","false","fcf97cb743f27295d7e3ecb90906e90db6cd2827e9fbe46befd7539280ff72c7","723864d800721d213642fe5ab570c0511eb7b0114a4c091af38edb2b607de43d","[{""name"":""write_file"",""callId"":""call_02_s0yfyvM8sOnRtFmPCDv12072"",""startSeq"":36,""endSeq"":37}]"
"b01-normalize","2","normalize.mjs","7","35","call_00_LEXXiKEAhfPhzoakjLDK5848","call_00_gR2MIgJxba81E7J5gdFF2246","true","true","true","true","false","702d3ec9d0de629f5482903eab60d025b3ea6409c6d0cf07a3ca4c85acf7622a","e8caae1896d8033087581433a4127c5d66c4f3f2bef489f337e3bce7f55dfc72","[{""name"":""edit_file"",""callId"":""call_00_oceCw4jlEB2Df5riHGUq1173"",""startSeq"":28,""endSeq"":29}]"
"b03-config","2","config.mjs","7","35","call_00_z0hg47p2ZZPZ3kIBP2sX5052","call_00_K2zJtZEek7xAPoFQy8Iu0349","true","true","true","true","false","123dfdc2781c0bd9c5129e10510d5984b37a44beb54c07e4e04f5f32dc3c5730","69059b4c0164a4a1a3be0162c9771ea513a86f0b10fae6194f71c63fd6f11676","[{""name"":""write_file"",""callId"":""call_00_JBCa55R4wjWVRw1wmeC72366"",""startSeq"":28,""endSeq"":29}]"
"b03-config","2","config.mjs","35","49","call_00_K2zJtZEek7xAPoFQy8Iu0349","call_00_WqISbjrAu54mobz28Z1S7883","true","true","true","true","false","69059b4c0164a4a1a3be0162c9771ea513a86f0b10fae6194f71c63fd6f11676","8f47cfac643f7bf8f6d1bb30fbe06e7f5ab0a3871f027a3c804b44d1dc48620e","[{""name"":""write_file"",""callId"":""call_00_eMLoKnhr2jW8bjIHvyXE1102"",""startSeq"":42,""endSeq"":43}]"
"b03-config","2","config.mjs","49","63","call_00_WqISbjrAu54mobz28Z1S7883","call_00_262EZyhznh73xdS76NbW6528","true","true","true","true","true","8f47cfac643f7bf8f6d1bb30fbe06e7f5ab0a3871f027a3c804b44d1dc48620e","8f47cfac643f7bf8f6d1bb30fbe06e7f5ab0a3871f027a3c804b44d1dc48620e","[]"
"f01-tags","2","tags.mjs","14","31","call_00_wZoQa5YErS3AnJMqaqH43324","call_00_STe35lHaD6uP626EmiiJ9805","true","true","true","true","false","852fa85117b3195be444424da3017b666a8a41668f9d01992b15f9342f156bd8","c01bd123244a7794f5622263dd8dcb09b6781fb5ceffdd2d9e4d4af325d66c13","[{""name"":""write_file"",""callId"":""call_00_75Nh2ZYshd6TqmIgy3ur6700"",""startSeq"":24,""endSeq"":25}]"
"f03-ranges","2","ranges.mjs","14","31","call_00_NqwvEklx1sDvVq68Ze5z4236","call_00_PFbaio5bFpJYHOy9G7xe9434","true","true","true","true","false","f43c1cafe156f86886a63252753837bfd8b57f18b315b6a984e6cf14c351f2b9","fdc38fb302bc1acf0160492b29b2fda1b32b9fa87ba514a76d2c96afd026e09f","[{""name"":""write_file"",""callId"":""call_00_z4tCSw4nwEoy1Qtgcf0a2395"",""startSeq"":24,""endSeq"":25}]"
"h01-config-pipeline","2","src/merge.mjs","35","92","call_07_cUf1KswM7RkkU29nH1f78349","call_00_iZxuRdDOvRihcvw50c6v1866","true","true","true","true","false","4aa593488bb78234db26dba2e478ed840907b5b9a3339f9fea386ebeb02e55d4","5ea0ed071d26f14fa12f42a6554d5685e19787d95fba5a7e1a49efbef5c2b6fc","[{""name"":""write_file"",""callId"":""call_00_tieln6CoPl633CaF1slH6314"",""startSeq"":54,""endSeq"":55}]"
"h01-config-pipeline","2","src/validate.mjs","38","95","call_08_myc6mTmPsfKJOSobyzap3341","call_01_WMLVwVPRIXU501jnNLLe5431","true","true","true","true","false","c7356ab18f692343d74a6059121ebef01dd81a95b7b9259895de0fb183d470b8","44537b8a7db604886d3490bc450c6a7d15d0ed8ec29c0729f5d404d1dc4fc604","[{""name"":""edit_file"",""callId"":""call_00_RXNQOeksTV3qkUevR8Zl8772"",""startSeq"":82,""endSeq"":83}]"
"h01-config-pipeline","2","src/env-config.mjs","23","109","call_03_X0zZ2dikBHUpzlgOQmSs9923","call_00_7gJTpU9tnElF3TsOibd36592","true","true","true","true","false","fe0eecff2b015b29b00d5e44520939211150093169d6c6cfb7748ee0e5545f44","e27237f400b4773877ec578e0cb90fce425d374738bb4af9434e64d9b7afe275","[{""name"":""edit_file"",""callId"":""call_00_EYjwoYPtCQORVn2jpOWU6432"",""startSeq"":75,""endSeq"":76}]"
"h01-config-pipeline","2","src/index.mjs","14","116","call_00_woq4rsH9E4UpeZNXg9EV6751","call_00_UEzPKoLsGeqkjn7ieb9h8717","true","true","true","true","true","c2bd8855d62db683dac459234b698a663e353afbe0223e6f72042498a0726ee6","c2bd8855d62db683dac459234b698a663e353afbe0223e6f72042498a0726ee6","[]"
"h02-chunk-parser","2","src/state.mjs","23","78","call_02_kaLhHC9PcfpzeDtiG31L1898","call_00_KnW4Wf7CaGoRmncgoIK01523","true","true","true","true","false","48289c8e33361dd10c7313926fc3c20917132fc2a3af634680ed095360ef32db","17e38c72285474cbee6f458c5e874baee349c783345b1c40eb45a0ab5fb73960","[{""name"":""write_file"",""callId"":""call_00_KMnl0SK1pWhoKdjW4Uom2440"",""startSeq"":68,""endSeq"":69}]"
"h02-chunk-parser","2","src/tokenizer.mjs","17","92","call_00_eP4SjahUGXtl8Q5tR4Zt7951","call_00_SA9F8LnXGK6hJzaDmFhQ6342","true","true","true","true","true","6890f5d3b91a30d016ebd63a01ebaac03612a2cb503607000c4a6c6362cafbc9","6890f5d3b91a30d016ebd63a01ebaac03612a2cb503607000c4a6c6362cafbc9","[]"
"h02-chunk-parser","2","src/consumers/read-items.mjs","35","95","call_06_vvbpBQiVj8QWgtds1ipA4694","call_01_Ky6rgTJFwNVHyvbLrPtC7515","true","true","true","true","true","f40ee439a9af5cee16b7876fc6d18dd9506e2b485bc7f127fca3db6ef3bb4a54","f40ee439a9af5cee16b7876fc6d18dd9506e2b485bc7f127fca3db6ef3bb4a54","[]"
"h02-chunk-parser","2","src/consumers/count-items.mjs","38","98","call_07_ITYsvy9ZfUFpWW5AviHd0969","call_02_95mKX2bC6RafwuaAQo8M5494","true","true","true","true","true","babc6cb2c362f1772ad9a6501d2778b72a9f9eeafcaef3432b0a61f779d868b4","babc6cb2c362f1772ad9a6501d2778b72a9f9eeafcaef3432b0a61f779d868b4","[]"
"h02-chunk-parser","2","src/item-schema.mjs","32","101","call_05_t8hEcbeAWoXDXoE0Epto7403","call_03_fJx3rUuag8zJQUIWCUY02371","true","true","true","true","true","005bf9cadfdf57c7fa9c3b4dc4ea963d1c300b6d4f89563eda77db92070ea863","005bf9cadfdf57c7fa9c3b4dc4ea963d1c300b6d4f89563eda77db92070ea863","[]"
"h02-chunk-parser","2","src/escape.mjs","29","104","call_04_v9cIvKlqjc63pq4UU3zu3610","call_04_PzfIUm6KGWkRuNmfq2TI2048","true","true","true","true","true","cad774a056dfcc772301cac367a86c5befbb2aff0afdb46a14e719958151fa2c","cad774a056dfcc772301cac367a86c5befbb2aff0afdb46a14e719958151fa2c","[]"
"h03-module-navigation","2","registry.mjs","17","82","call_01_3YYNVZfNVvyzCAKv57V30203","call_00_JThI99AKgHRBswEsaosV3076","true","true","true","true","false","dfe590a0eb455539b113defb58e8a1477f53a797dd495e6e92983ca89f9dae46","eb22cc16896a4981978f52aa4241fc3a0227d536afbd91916ecbb5eece10dfa8","[{""name"":""write_file"",""callId"":""call_00_hbm6QW8JSB9YGUi0AZAR8709"",""startSeq"":68,""endSeq"":69}]"
"h03-module-navigation","2","routes/dynamic.mjs","33","96","call_01_RHcdmlmx308PGnEvhgCN2291","call_00_gIRDmxWRqTd5Cq8kBe570113","true","true","true","true","true","d5a27bbdd2ea5679e23c3e43854fd11f8748f323252cdb78f8ebb0a6780de882","d5a27bbdd2ea5679e23c3e43854fd11f8748f323252cdb78f8ebb0a6780de882","[]"
