"taskId","repeat","name","canonicalArguments","occurrences","repeats","startSeqs","dispatchedStartSeqs"
"b01-normalize","1","read_file","{""path"":""normalize.mjs""}","2","1","[14,31]","[14,31]"
"b03-config","1","read_file","{""path"":""config.mjs""}","4","3","[14,31,45,52]","[14,31,45,52]"
"f01-tags","1","read_file","{""path"":""tags.mjs""}","2","1","[14,31]","[14,31]"
"f03-ranges","1","read_file","{""path"":""ranges.mjs""}","2","1","[14,31]","[14,31]"
"h01-config-pipeline","1","read_file","{""path"":""src/index.mjs""}","2","1","[14,119]","[14]"
"h01-config-pipeline","1","read_file","{""path"":""src/env-config.mjs""}","2","1","[23,113]","[23,113]"
"h01-config-pipeline","1","read_file","{""path"":""src/file-config.mjs""}","2","1","[26,92]","[26,92]"
"h01-config-pipeline","1","read_file","{""path"":""src/merge.mjs""}","2","1","[35,89]","[35,89]"
"h01-config-pipeline","1","read_file","{""path"":""src/validate.mjs""}","2","1","[38,116]","[38,116]"
"h01-config-pipeline","1","write_file","{""content"":""function isPlainObject(value) {\n  return value !== null && typeof value === 'object' && !Array.isArray(value);\n}\n\nexport function readFileLayer(file = {}) {\n  if (file === null || typeof file !== 'object' || Array.isArray(file)) throw new TypeError('file must be an object');\n  const layer = {};\n  if ('network' in file) {\n    if (!isPlainObject(file.network)) throw new TypeError('file.network must be an object');\n    const network = {};\n    if ('endpoint' in file.network) network.endpoint = file.network.endpoint;\n    if ('retries' in file.network) network.retries = file.network.retries;\n    layer.network = network;\n  }\n  if ('ui' in file) {\n    if (!isPlainObject(file.ui)) throw new TypeError('file.ui must be an object');\n    const ui = {};\n    if ('theme' in file.ui) ui.theme = file.ui.theme;\n    if ('compact' in file.ui) ui.compact = file.ui.compact;\n    layer.ui = ui;\n  }\n  if ('enabled' in file) layer.enabled = file.enabled;\n  return layer;\n}\n"",""path"":""src/file-config.mjs""}","2","1","[61,99]","[61,99]"
"h03-module-navigation","1","list_files","{""path"":"".""}","2","1","[7,92]","[7,92]"
"h03-module-navigation","1","read_file","{""path"":""entry.mjs""}","3","2","[14,85,109]","[14,85,109]"
"h03-module-navigation","1","read_file","{""path"":""registry.mjs""}","3","2","[17,82,112]","[17,82,112]"
"h03-module-navigation","1","read_file","{""path"":""legacy.mjs""}","2","1","[23,99]","[23,99]"
"h03-module-navigation","1","read_file","{""path"":""routes/dynamic.mjs""}","2","1","[33,102]","[33,102]"
"h04-issue-refactor","1","read_file","{""path"":""normalize.mjs""}","2","1","[14,95]","[14,95]"
"h04-issue-refactor","1","read_file","{""path"":""consumers/list.mjs""}","2","1","[20,98]","[20,98]"
"h04-issue-refactor","1","read_file","{""path"":""consumers/search.mjs""}","2","1","[23,101]","[23,101]"
"h04-issue-refactor","1","read_file","{""path"":""consumers/activity.mjs""}","2","1","[26,104]","[26,104]"
"h04-issue-refactor","1","read_file","{""path"":""serialize.mjs""}","2","1","[29,107]","[29]"
"m01-report","1","list_files","{""path"":"".""}","2","1","[7,47]","[7,47]"
"m01-report","1","read_file","{""path"":""parser.mjs""}","3","2","[14,40,61]","[14,40,61]"
"m01-report","1","read_file","{""path"":""report.mjs""}","2","1","[17,37]","[17,37]"
"m02-options","1","read_file","{""path"":""defaults.mjs""}","2","1","[14,43]","[14,43]"
"m02-options","1","read_file","{""path"":""formatter.mjs""}","2","1","[17,49]","[17,49]"
"m02-options","1","read_file","{""path"":""resolver.mjs""}","2","1","[20,46]","[20,46]"
"b01-normalize","2","read_file","{""path"":""normalize.mjs""}","2","1","[7,35]","[7,35]"
"b03-config","2","read_file","{""path"":""config.mjs""}","4","3","[7,35,49,63]","[7,35,49,63]"
"b03-config","2","list_files","{""path"":"".""}","2","1","[14,56]","[14,56]"
"f01-tags","2","list_files","{""path"":"".""}","2","1","[7,38]","[7,38]"
"f01-tags","2","read_file","{""path"":""tags.mjs""}","2","1","[14,31]","[14,31]"
"f03-ranges","2","read_file","{""path"":""ranges.mjs""}","2","1","[14,31]","[14,31]"
"h01-config-pipeline","2","read_file","{""path"":""src/index.mjs""}","2","1","[14,116]","[14,116]"
"h01-config-pipeline","2","read_file","{""path"":""src/env-config.mjs""}","2","1","[23,109]","[23,109]"
"h01-config-pipeline","2","read_file","{""path"":""src/file-config.mjs""}","2","1","[26,123]","[26]"
"h01-config-pipeline","2","read_file","{""path"":""src/merge.mjs""}","2","1","[35,92]","[35,92]"
"h01-config-pipeline","2","read_file","{""path"":""src/validate.mjs""}","2","1","[38,95]","[38,95]"
"h02-chunk-parser","2","list_files","{""path"":"".""}","2","1","[7,61]","[7,61]"
"h02-chunk-parser","2","read_file","{""path"":""src/index.mjs""}","2","1","[10,107]","[10]"
"h02-chunk-parser","2","read_file","{""path"":""src/tokenizer.mjs""}","2","1","[17,92]","[17,92]"
"h02-chunk-parser","2","read_file","{""path"":""src/state.mjs""}","2","1","[23,78]","[23,78]"
"h02-chunk-parser","2","read_file","{""path"":""src/escape.mjs""}","2","1","[29,104]","[29,104]"
"h02-chunk-parser","2","read_file","{""path"":""src/item-schema.mjs""}","2","1","[32,101]","[32,101]"
"h02-chunk-parser","2","read_file","{""path"":""src/consumers/read-items.mjs""}","2","1","[35,95]","[35,95]"
"h02-chunk-parser","2","read_file","{""path"":""src/consumers/count-items.mjs""}","2","1","[38,98]","[38,98]"
"h03-module-navigation","2","list_files","{""path"":"".""}","2","1","[7,89]","[7,89]"
"h03-module-navigation","2","read_file","{""path"":""entry.mjs""}","2","1","[14,106]","[14,106]"
"h03-module-navigation","2","read_file","{""path"":""registry.mjs""}","2","1","[17,82]","[17,82]"
"h03-module-navigation","2","read_file","{""path"":""legacy.mjs""}","2","1","[23,103]","[23,103]"
"h03-module-navigation","2","read_file","{""path"":""routes/dynamic.mjs""}","2","1","[33,96]","[33,96]"
"h04-issue-refactor","2","read_file","{""path"":""normalize.mjs""}","2","1","[14,79]","[14,79]"
"h04-issue-refactor","2","read_file","{""path"":""consumers/list.mjs""}","2","1","[17,82]","[17,82]"
"h04-issue-refactor","2","read_file","{""path"":""consumers/search.mjs""}","2","1","[20,85]","[20,85]"
"h04-issue-refactor","2","read_file","{""path"":""consumers/activity.mjs""}","2","1","[23,88]","[23,88]"
"h04-issue-refactor","2","read_file","{""path"":""serialize.mjs""}","2","1","[26,91]","[26]"
"m01-report","2","read_file","{""path"":""parser.mjs""}","2","1","[14,37]","[14,37]"
"m01-report","2","read_file","{""path"":""report.mjs""}","2","1","[17,40]","[17,40]"
"m02-options","2","read_file","{""path"":""defaults.mjs""}","2","1","[14,43]","[14,43]"
"m02-options","2","read_file","{""path"":""formatter.mjs""}","2","1","[17,49]","[17,49]"
"m02-options","2","read_file","{""path"":""resolver.mjs""}","2","1","[20,46]","[20,46]"
"b01-normalize","3","read_file","{""path"":""normalize.mjs""}","2","1","[7,21]","[7,21]"
"b03-config","3","read_file","{""path"":""config.mjs""}","2","1","[7,42]","[7,42]"
"f01-tags","3","list_files","{""path"":"".""}","2","1","[7,38]","[7,38]"
"f01-tags","3","read_file","{""path"":""tags.mjs""}","2","1","[14,31]","[14,31]"
"f02-pagination","3","read_file","{""path"":""pagination.mjs""}","2","1","[7,21]","[7,21]"
"f03-ranges","3","read_file","{""path"":""ranges.mjs""}","2","1","[14,31]","[14,31]"
"f03-ranges","3","read_file","{""path"":""public.test.mjs""}","2","1","[17,38]","[17,38]"
"h01-config-pipeline","3","read_file","{""path"":""src/index.mjs""}","2","1","[14,111]","[14]"
"h01-config-pipeline","3","read_file","{""path"":""src/env-config.mjs""}","2","1","[23,102]","[23,102]"
"h01-config-pipeline","3","read_file","{""path"":""src/file-config.mjs""}","2","1","[26,108]","[26,108]"
"h01-config-pipeline","3","read_file","{""path"":""src/merge.mjs""}","2","1","[35,99]","[35,99]"
"h01-config-pipeline","3","read_file","{""path"":""src/validate.mjs""}","2","1","[38,105]","[38,105]"
"h03-module-navigation","3","list_files","{""path"":"".""}","2","1","[7,96]","[7,96]"
"h03-module-navigation","3","read_file","{""path"":""entry.mjs""}","2","1","[14,103]","[14,103]"
"h03-module-navigation","3","read_file","{""path"":""registry.mjs""}","2","1","[17,106]","[17,106]"
"h03-module-navigation","3","read_file","{""path"":""routes/dynamic.mjs""}","2","1","[33,82]","[33,82]"
"h03-module-navigation","3","read_file","{""path"":""public.test.mjs""}","2","1","[39,89]","[39,89]"
"h04-issue-refactor","3","read_file","{""path"":""normalize.mjs""}","2","1","[14,95]","[14,95]"
"h04-issue-refactor","3","read_file","{""path"":""consumers/list.mjs""}","2","1","[20,98]","[20,98]"
"h04-issue-refactor","3","read_file","{""path"":""consumers/search.mjs""}","2","1","[23,101]","[23,101]"
"h04-issue-refactor","3","read_file","{""path"":""consumers/activity.mjs""}","2","1","[26,104]","[26,104]"
"h04-issue-refactor","3","read_file","{""path"":""serialize.mjs""}","2","1","[29,107]","[29]"
"m01-report","3","list_files","{""path"":"".""}","2","1","[7,47]","[7,47]"
"m01-report","3","read_file","{""path"":""parser.mjs""}","2","1","[14,37]","[14,37]"
"m01-report","3","read_file","{""path"":""report.mjs""}","2","1","[17,40]","[17,40]"
"m02-options","3","list_files","{""path"":"".""}","2","1","[7,56]","[7,56]"
"m02-options","3","read_file","{""path"":""defaults.mjs""}","2","1","[14,49]","[14,49]"
"m02-options","3","read_file","{""path"":""formatter.mjs""}","2","1","[17,46]","[17,46]"
"m02-options","3","read_file","{""path"":""resolver.mjs""}","2","1","[20,43]","[20,43]"
