"taskId","repeat","callId","name","path","errorCode","startSeq","endSeq","nextWorkerRequestSeq","nextSuccessfulWorkerResponseSeq","laterSameKeySuccessfulStartSeqs","laterSamePathSuccessfulStartSeqs","laterToolStartSeqs","correctionConclusion"
"h01-config-pipeline","1","call_00_1j38kA5h0HuCOrEJjijA7190","write_file","src/file-config.mjs","permission_denied","61","62","65","66","[]","[92]","[68,75,82,89,92,99,106,113,116]","null"
"h01-config-pipeline","1","call_00_wrNzee40QqA2Z8cVA31K0953","edit_file","src/file-config.mjs","permission_denied","68","69","72","73","[]","[92]","[75,82,89,92,99,106,113,116]","null"
"h01-config-pipeline","1","call_00_u1l9jUTuZIQwThyCWy7e9313","write_file","src/file-config.mjs","permission_denied","99","100","103","104","[]","[]","[106,113,116]","null"
"h01-config-pipeline","2","call_00_BnaGvOR61L8a4M1JZvdl0916","write_file","src/file-config.mjs","permission_denied","61","62","65","66","[]","[]","[68,75,82,85,92,95,102,109,116]","null"
"h01-config-pipeline","2","call_00_Zj5Vg8xapJ3yQzrYm41n0628","edit_file","src/file-config.mjs","permission_denied","68","69","72","73","[]","[]","[75,82,85,92,95,102,109,116]","null"
"h01-config-pipeline","2","call_01_EpVqYTa6farJz18knf0R8235","edit_file","src/merge.mjs","edit_no_match","85","86","89","90","[]","[92]","[92,95,102,109,116]","null"
"h01-config-pipeline","2","call_00_NlbsL2ZXU1lRwYxpUfTo3742","delete_file","src/file-config.mjs","permission_denied","102","103","106","107","[]","[]","[109,116]","null"
"h02-chunk-parser","2","call_00_JOlOWVl6Nh9RIn7i2VQp9370","read_file","package.json","file_missing","54","55","58","59","[]","[]","[61,68,71,78,85,92,95,98,101,104]","null"
"h02-chunk-parser","2","call_01_w0csiSp0qd05EfKYZ1Kp5561","write_file","src/assembler.mjs","permission_denied","71","72","75","76","[]","[]","[78,85,92,95,98,101,104]","null"
"h02-chunk-parser","2","call_00_oY3mYzfHuaL6jNP7uQsd5254","write_file","scratch.test.mjs","permission_denied","85","86","89","90","[]","[]","[92,95,98,101,104]","null"
"h01-config-pipeline","3","call_00_d3eNdtoF4YDOLwjIh5xo4291","write_file","src/file-config.mjs","permission_denied","61","62","65","66","[]","[108]","[68,75,78,85,92,99,102,105,108]","null"
"h01-config-pipeline","3","call_00_0FR1w5T8t0xvOFnjGV7S2652","edit_file","src/file-config.mjs","permission_denied","68","69","72","73","[]","[108]","[75,78,85,92,99,102,105,108]","null"
"h01-config-pipeline","3","call_00_JEv4ewbmkSmxFk2wbUyS9219","edit_file","src/index.mjs","permission_denied","85","86","89","90","[]","[]","[92,99,102,105,108]","null"
