"stem","taskId","variant","repeat","compactions","compactedSeqs","summaryResponseSeqs","postObservationSeqs","preToPostEstimatedTokens","reductions","dsmlCount","invokedToolNames"
"b03-config-full-1","b03-config","full","1","1","[94]","[93]","[95]","[""6680→3684""]","[2996]","1","[""edit_file""]"
"b03-config-full-2","b03-config","full","2","1","[87]","[86]","[88]","[""6667→3522""]","[3145]","1","[""run_command""]"
"h01-config-pipeline-context-1","h01-config-pipeline","context","1","1","[104]","[103]","[105]","[""6182→2911""]","[3271]","1","[""write_file""]"
"h01-config-pipeline-context-2","h01-config-pipeline","context","2","1","[97]","[96]","[98]","[""6340→3379""]","[2961]","1","[""read_file""]"
"h01-config-pipeline-context-3","h01-config-pipeline","context","3","1","[97]","[96]","[98]","[""6206→3282""]","[2924]","1","[""run_command""]"
"h01-config-pipeline-full-1","h01-config-pipeline","full","1","1","[117]","[116]","[118]","[""6437→2997""]","[3440]","1","[""run_command""]"
"h01-config-pipeline-full-2","h01-config-pipeline","full","2","1","[114]","[113]","[115]","[""6493→3241""]","[3252]","1","[""run_command""]"
"h01-config-pipeline-full-3","h01-config-pipeline","full","3","1","[110]","[109]","[111]","[""6985→3823""]","[3162]","1","[""edit_file""]"
"h02-chunk-parser-context-3","h02-chunk-parser","context","3","2","[76,86]","[75,85]","[77,87]","[""7843→7783"",""7897→5957""]","[60,1940]","1","[""read_file""]"
"h02-chunk-parser-full-1","h02-chunk-parser","full","1","3","[77,103,129]","[76,102,128]","[78,104,130]","[""6493→5422"",""6237→5438"",""7705→4288""]","[1071,799,3417]","2","[""read_file""]"
"h03-module-navigation-full-1","h03-module-navigation","full","1","1","[109]","[108]","[110]","[""6231→3570""]","[2661]","1","[""write_file""]"
