"suite","contrast","left","right","leftRatePct","rightRatePct","differencePp"
"S","context-baseline","context","baseline","83.33333333333334","87.5","-4.166666666666657"
"S","optimizer-baseline","optimizer","baseline","87.5","87.5","0"
"S","full-optimizer","full","optimizer","79.16666666666666","87.5","-8.333333333333343"
"S","full-context","full","context","79.16666666666666","83.33333333333334","-4.166666666666686"
"S","full-baseline","full","baseline","79.16666666666666","87.5","-8.333333333333343"
"H","context-baseline","context","baseline","25","33.33333333333333","-8.333333333333329"
"H","optimizer-baseline","optimizer","baseline","25","33.33333333333333","-8.333333333333329"
"H","full-optimizer","full","optimizer","16.666666666666664","25","-8.333333333333336"
"H","full-context","full","context","16.666666666666664","25","-8.333333333333336"
"H","full-baseline","full","baseline","16.666666666666664","33.33333333333333","-16.666666666666664"
"overall","context-baseline","context","baseline","63.888888888888886","69.44444444444444","-5.555555555555557"
"overall","optimizer-baseline","optimizer","baseline","66.66666666666666","69.44444444444444","-2.7777777777777857"
"overall","full-optimizer","full","optimizer","58.333333333333336","66.66666666666666","-8.333333333333321"
"overall","full-context","full","context","58.333333333333336","63.888888888888886","-5.55555555555555"
"overall","full-baseline","full","baseline","58.333333333333336","69.44444444444444","-11.111111111111107"
