"taskId","suite","repeat","variant","passed","functionalPass","termination","failureReason","workerAttempts","workerDispatched","workerSuccessfulResponses","modelRequests","toolStarts","toolCalls","skippedToolStarts","toolErrors","exactRepeatCount","consecutiveRepeatCount","dispatchedExactRepeatCount","dispatchedConsecutiveRepeatCount","readBackCount","observationOnly","peakRequestChars","peakEstimatedInputTokens","thresholdRequests","eligibleCompactionRequests","inputTokens","outputTokens","knownInputTokens","knownOutputTokens","changedPaths","publicPassed","publicPassedTests","publicFailedTests","publicFailedNames","acceptancePassed","acceptancePassedTests","acceptanceFailedTests","acceptanceFailedNames","compactions","optimizerOutputs"
"b01-normalize","S","1","baseline","true","true","completed","null","4","4","4","4","3","3","0","0","1","0","1","0","1","0","3816","853","0","0","3437","418","3437","418","normalize.mjs","true","3","0","","true","5","0","","0","0"
"b01-normalize","S","1","context","true","true","completed","null","4","4","4","4","3","3","0","0","1","0","1","0","1","0","3816","853","0","0","3437","444","3437","444","normalize.mjs","true","3","0","","true","5","0","","0","0"
"b01-normalize","S","1","optimizer","true","true","completed","null","5","5","5","6","5","5","0","0","1","0","1","0","1","0","5515","1258","0","0","5797","565","5797","565","normalize.mjs","true","3","0","","true","5","0","","0","1"
"b01-normalize","S","1","full","true","true","completed","null","4","4","4","5","3","3","0","0","1","0","1","0","1","0","4370","992","0","0","4048","523","4048","523","normalize.mjs","true","3","0","","true","5","0","","0","1"
"b02-counter","S","1","context","true","true","completed","null","4","4","4","4","4","4","0","0","0","0","0","0","0","0","5642","1300","0","0","4298","558","4298","558","counter.mjs","true","3","0","","true","5","0","","0","0"
"b02-counter","S","1","optimizer","true","true","completed","null","5","5","5","6","5","5","0","0","1","0","1","0","1","0","7275","1698","0","0","7229","768","7229","768","counter.mjs","true","3","0","","true","5","0","","0","1"
"b02-counter","S","1","full","true","true","completed","null","4","4","4","5","4","4","0","0","0","0","0","0","0","0","6246","1451","0","0","5079","627","5079","627","counter.mjs","true","3","0","","true","5","0","","0","1"
"b02-counter","S","1","baseline","true","true","completed","null","4","4","4","4","4","4","0","0","0","0","0","0","0","0","5638","1299","0","0","4296","549","4296","549","counter.mjs","true","3","0","","true","5","0","","0","0"
"b03-config","S","1","optimizer","true","true","completed","null","10","10","10","11","10","10","0","1","3","0","3","0","2","0","21564","5218","0","0","31605","3944","31605","3944","config.mjs","true","3","0","","true","8","0","","0","1"
"b03-config","S","1","full","false","true","request_limit","request_limit","14","14","14","16","15","15","0","2","4","0","4","0","3","0","24056","5820","1","1","52539","4022","52539","4022","config.mjs","true","3","0","","true","8","0","","1","1"
