"runId","taskId","suite","variant","repeat","orderIndex","passed","failureReason","termination","runEndSeq","failedAssertions","modelErrorResponseSeqs","toolErrorSeqs","journalPath","resultPath","publicOutputPath","acceptanceOutputPath"
"2026-09-24T15-18-52-983Z-c2434904-189f-4143-891b-f516dc9b67e3","b03-config","S","full","1","9","false","request_limit","request_limit","109","[]","[]","[{""startSeq"":82,""endSeq"":83,""errorCode"":""permission_denied""},{""startSeq"":89,""endSeq"":90,""errorCode"":""permission_denied""}]","attempts/b03-config-full-1/journal.jsonl","attempts/b03-config-full-1/result.json","attempts/b03-config-full-1/public-output.txt","attempts/b03-config-full-1/acceptance-output.txt"
"2026-09-24T15-18-52-983Z-c2434904-189f-4143-891b-f516dc9b67e3","h01-config-pipeline","H","optimizer","1","24","false","tool_limit","tool_limit","141","[]","[]","[{""startSeq"":92,""endSeq"":93,""errorCode"":""permission_denied""},{""startSeq"":99,""endSeq"":100,""errorCode"":""permission_denied""},{""startSeq"":106,""endSeq"":107,""errorCode"":""permission_denied""},{""startSeq"":113,""endSeq"":114,""errorCode"":""permission_denied""}]","attempts/h01-config-pipeline-optimizer-1/journal.jsonl","attempts/h01-config-pipeline-optimizer-1/result.json","attempts/h01-config-pipeline-optimizer-1/public-output.txt","attempts/h01-config-pipeline-optimizer-1/acceptance-output.txt"
"2026-09-24T15-18-52-983Z-c2434904-189f-4143-891b-f516dc9b67e3","h01-config-pipeline","H","full","1","25","false","tool_limit","tool_limit","132","[]","[]","[{""startSeq"":85,""endSeq"":86,""errorCode"":""permission_denied""}]","attempts/h01-config-pipeline-full-1/journal.jsonl","attempts/h01-config-pipeline-full-1/result.json","attempts/h01-config-pipeline-full-1/public-output.txt","attempts/h01-config-pipeline-full-1/acceptance-output.txt"
"2026-09-24T15-18-52-983Z-c2434904-189f-4143-891b-f516dc9b67e3","h01-config-pipeline","H","baseline","1","26","false","tool_limit","tool_limit","123","[]","[]","[{""startSeq"":65,""endSeq"":66,""errorCode"":""permission_denied""}]","attempts/h01-config-pipeline-baseline-1/journal.jsonl","attempts/h01-config-pipeline-baseline-1/result.json","attempts/h01-config-pipeline-baseline-1/public-output.txt","attempts/h01-config-pipeline-baseline-1/acceptance-output.txt"
"2026-09-24T15-18-52-983Z-c2434904-189f-4143-891b-f516dc9b67e3","h01-config-pipeline","H","context","1","27","false","tool_limit","tool_limit","124","[]","[]","[{""startSeq"":68,""endSeq"":69,""errorCode"":""permission_denied""},{""startSeq"":75,""endSeq"":76,""errorCode"":""permission_denied""}]","attempts/h01-config-pipeline-context-1/journal.jsonl","attempts/h01-config-pipeline-context-1/result.json","attempts/h01-config-pipeline-context-1/public-output.txt","attempts/h01-config-pipeline-context-1/acceptance-output.txt"
"2026-09-24T15-18-52-983Z-c2434904-189f-4143-891b-f516dc9b67e3","h02-chunk-parser","H","full","1","28","false","tool_limit","tool_limit","138","[]","[]","[]","attempts/h02-chunk-parser-full-1/journal.jsonl","attempts/h02-chunk-parser-full-1/result.json","attempts/h02-chunk-parser-full-1/public-output.txt","attempts/h02-chunk-parser-full-1/acceptance-output.txt"
"2026-09-24T15-18-52-983Z-c2434904-189f-4143-891b-f516dc9b67e3","h02-chunk-parser","H","baseline","1","29","false","model_error","model_error","53","[{""suite"":""public"",""name"":""CRLF split across chunks ends one record"",""testId"":3,""message"":""Expected values to be strictly deep-equal:\n+ actual - expected\n\n  [\n    [\n      'a',\n      'one'\n    ],\n    [\n+     ''\n+   ],\n+   [\n      'b',\n      'two'\n    ]\n  ]\n"",""code"":""ERR_TEST_FAILURE""},{""suite"":""public"",""name"":""doubled quotes unescape across chunks"",""testId"":4,""message"":""INVALID_QUOTE"",""code"":""ERR_TEST_FAILURE""},{""suite"":""acceptance"",""name"":""every two-way chunk split matches whole input"",""testId"":1,""message"":""INVALID_QUOTE"",""code"":""ERR_TEST_FAILURE""},{""suite"":""acceptance"",""name"":""quoted CRLF is preserved and outside CRLF is a delimiter"",""testId"":2,""message"":""Expected values to be strictly deep-equal:\n+ actual - expected\n\n  [\n    [\n      'x',\n      'line\\r\\nnext'\n    ],\n    [\n+     ''\n+   ],\n+   [\n      'y',\n      'z'\n    ]\n  ]\n"",""code"":""ERR_TEST_FAILURE""},{""suite"":""acceptance"",""name"":""doubled quotes spanning chunks become one quote"",""testId"":3,""message"":""INVALID_QUOTE"",""code"":""ERR_TEST_FAILURE""},{""suite"":""acceptance"",""name"":""open quote and bare CR have distinct errors"",""testId"":6,""message"":""Missing expected exception."",""code"":""ERR_TEST_FAILURE""},{""suite"":""acceptance"",""name"":""both consumers preserve quoted contents and count the same rows"",""testId"":7,""message"":""COLUMN_COUNT"",""code"":""ERR_TEST_FAILURE""}]","[52]","[]","attempts/h02-chunk-parser-baseline-1/journal.jsonl","attempts/h02-chunk-parser-baseline-1/result.json","attempts/h02-chunk-parser-baseline-1/public-output.txt","attempts/h02-chunk-parser-baseline-1/acceptance-output.txt"
"2026-09-24T15-18-52-983Z-c2434904-189f-4143-891b-f516dc9b67e3","h02-chunk-parser","H","context","1","30","false","model_error","model_error","53","[{""suite"":""public"",""name"":""CRLF split across chunks ends one record"",""testId"":3,""message"":""Expected values to be strictly deep-equal:\n+ actual - expected\n\n  [\n    [\n      'a',\n      'one'\n    ],\n    [\n+     ''\n+   ],\n+   [\n      'b',\n      'two'\n    ]\n  ]\n"",""code"":""ERR_TEST_FAILURE""},{""suite"":""public"",""name"":""doubled quotes unescape across chunks"",""testId"":4,""message"":""INVALID_QUOTE"",""code"":""ERR_TEST_FAILURE""},{""suite"":""acceptance"",""name"":""every two-way chunk split matches whole input"",""testId"":1,""message"":""INVALID_QUOTE"",""code"":""ERR_TEST_FAILURE""},{""suite"":""acceptance"",""name"":""quoted CRLF is preserved and outside CRLF is a delimiter"",""testId"":2,""message"":""Expected values to be strictly deep-equal:\n+ actual - expected\n\n  [\n    [\n      'x',\n      'line\\r\\nnext'\n    ],\n    [\n+     ''\n+   ],\n+   [\n      'y',\n      'z'\n    ]\n  ]\n"",""code"":""ERR_TEST_FAILURE""},{""suite"":""acceptance"",""name"":""doubled quotes spanning chunks become one quote"",""testId"":3,""message"":""INVALID_QUOTE"",""code"":""ERR_TEST_FAILURE""},{""suite"":""acceptance"",""name"":""open quote and bare CR have distinct errors"",""testId"":6,""message"":""Missing expected exception."",""code"":""ERR_TEST_FAILURE""},{""suite"":""acceptance"",""name"":""both consumers preserve quoted contents and count the same rows"",""testId"":7,""message"":""COLUMN_COUNT"",""code"":""ERR_TEST_FAILURE""}]","[52]","[]","attempts/h02-chunk-parser-context-1/journal.jsonl","attempts/h02-chunk-parser-context-1/result.json","attempts/h02-chunk-parser-context-1/public-output.txt","attempts/h02-chunk-parser-context-1/acceptance-output.txt"
"2026-09-24T15-18-52-983Z-c2434904-189f-4143-891b-f516dc9b67e3","h02-chunk-parser","H","optimizer","1","31","false","model_error","model_error","62","[{""suite"":""public"",""name"":""CRLF split across chunks ends one record"",""testId"":3,""message"":""Expected values to be strictly deep-equal:\n+ actual - expected\n\n  [\n    [\n      'a',\n      'one'\n    ],\n    [\n+     ''\n+   ],\n+   [\n      'b',\n      'two'\n    ]\n  ]\n"",""code"":""ERR_TEST_FAILURE""},{""suite"":""public"",""name"":""doubled quotes unescape across chunks"",""testId"":4,""message"":""INVALID_QUOTE"",""code"":""ERR_TEST_FAILURE""},{""suite"":""acceptance"",""name"":""every two-way chunk split matches whole input"",""testId"":1,""message"":""INVALID_QUOTE"",""code"":""ERR_TEST_FAILURE""},{""suite"":""acceptance"",""name"":""quoted CRLF is preserved and outside CRLF is a delimiter"",""testId"":2,""message"":""Expected values to be strictly deep-equal:\n+ actual - expected\n\n  [\n    [\n      'x',\n      'line\\r\\nnext'\n    ],\n    [\n+     ''\n+   ],\n+   [\n      'y',\n      'z'\n    ]\n  ]\n"",""code"":""ERR_TEST_FAILURE""},{""suite"":""acceptance"",""name"":""doubled quotes spanning chunks become one quote"",""testId"":3,""message"":""INVALID_QUOTE"",""code"":""ERR_TEST_FAILURE""},{""suite"":""acceptance"",""name"":""open quote and bare CR have distinct errors"",""testId"":6,""message"":""Missing expected exception."",""code"":""ERR_TEST_FAILURE""},{""suite"":""acceptance"",""name"":""both consumers preserve quoted contents and count the same rows"",""testId"":7,""message"":""COLUMN_COUNT"",""code"":""ERR_TEST_FAILURE""}]","[61]","[]","attempts/h02-chunk-parser-optimizer-1/journal.jsonl","attempts/h02-chunk-parser-optimizer-1/result.json","attempts/h02-chunk-parser-optimizer-1/public-output.txt","attempts/h02-chunk-parser-optimizer-1/acceptance-output.txt"
"2026-09-24T15-18-52-983Z-c2434904-189f-4143-891b-f516dc9b67e3","h03-module-navigation","H","full","1","35","false","tool_limit","tool_limit","122","[]","[]","[]","attempts/h03-module-navigation-full-1/journal.jsonl","attempts/h03-module-navigation-full-1/result.json","attempts/h03-module-navigation-full-1/public-output.txt","attempts/h03-module-navigation-full-1/acceptance-output.txt"
