"taskId","variant","repeat","path","previousStartSeq","currentStartSeq","previousCallId","currentCallId","previousOk","currentOk","successfulReadBack","comparableOutputs","sameVisibleOutput","previousOutputSha256","currentOutputSha256","interveningSuccessfulMutations"
"b01-normalize","baseline","1","normalize.mjs","7","21","call_00_nlmZICFZGdSj2X9pm2Lp8975","call_00_5GwsUj5x0m0P4ZvBZoe67255","true","true","true","true","false","702d3ec9d0de629f5482903eab60d025b3ea6409c6d0cf07a3ca4c85acf7622a","e8caae1896d8033087581433a4127c5d66c4f3f2bef489f337e3bce7f55dfc72","[{""name"":""edit_file"",""callId"":""call_00_q3Mzpmv0RuFmlTOQMjfq6682"",""startSeq"":14,""endSeq"":15}]"
"b01-normalize","context","1","normalize.mjs","7","21","call_00_vIE4UbVZ1jabhmIMmZIL0341","call_00_VcKNQ2VxRu2ty1YEjSXr1238","true","true","true","true","false","702d3ec9d0de629f5482903eab60d025b3ea6409c6d0cf07a3ca4c85acf7622a","e8caae1896d8033087581433a4127c5d66c4f3f2bef489f337e3bce7f55dfc72","[{""name"":""edit_file"",""callId"":""call_00_p7ykJj4TGFjGqV8ywT3i5039"",""startSeq"":14,""endSeq"":15}]"
"b01-normalize","optimizer","1","normalize.mjs","16","33","call_00_QHZmYnRrIXPdgDne57M43630","call_00_LYzt0aQRP9LTEzyMqm0B8726","true","true","true","true","false","702d3ec9d0de629f5482903eab60d025b3ea6409c6d0cf07a3ca4c85acf7622a","e8caae1896d8033087581433a4127c5d66c4f3f2bef489f337e3bce7f55dfc72","[{""name"":""edit_file"",""callId"":""call_00_NnlQOPBVmfYCJjWxdTb11365"",""startSeq"":26,""endSeq"":27}]"
"b01-normalize","full","1","normalize.mjs","9","23","call_00_6ZAL9Wcl9Bhj4h8uv1VD1511","call_00_hrhEVs5OsU2wgFyUA6Q75187","true","true","true","true","false","702d3ec9d0de629f5482903eab60d025b3ea6409c6d0cf07a3ca4c85acf7622a","e8caae1896d8033087581433a4127c5d66c4f3f2bef489f337e3bce7f55dfc72","[{""name"":""edit_file"",""callId"":""call_00_DbBQdfanbP6BSaejQY1H3569"",""startSeq"":16,""endSeq"":17}]"
"b02-counter","optimizer","1","counter.mjs","12","33","call_01_6qR9BWE0eRaC1gIN4KGs8815","call_00_XcCZ4pMCuxVMYKa337h68622","true","true","true","true","false","e5c6ad5146d45344d82c755c998b4d318de76df4958cb94b208d95db7dc2e41e","97934da71c40566bad7d1c0e2a2a552868f3158debb42a08143eb62b46bd8b05","[{""name"":""write_file"",""callId"":""call_00_rdpKfEyshOTn86q6mBIU1873"",""startSeq"":26,""endSeq"":27}]"
"b03-config","optimizer","1","config.mjs","16","33","call_00_Pv0nrW8rW5MTnQMNp2nq1427","call_00_Sns7wxhw9ydGovYE62MT3634","true","true","true","true","false","123dfdc2781c0bd9c5129e10510d5984b37a44beb54c07e4e04f5f32dc3c5730","7f4a847b026b0a1b53c5e57b196c805a8b039d71b98a55f84b73fa84bee52a75","[{""name"":""write_file"",""callId"":""call_00_qqlJ6H3WVBSDe51G6Pul7933"",""startSeq"":26,""endSeq"":27}]"
"b03-config","optimizer","1","config.mjs","33","68","call_00_Sns7wxhw9ydGovYE62MT3634","call_00_HJiwQZZDBrrUFfnPWKmX3474","true","true","true","true","true","7f4a847b026b0a1b53c5e57b196c805a8b039d71b98a55f84b73fa84bee52a75","7f4a847b026b0a1b53c5e57b196c805a8b039d71b98a55f84b73fa84bee52a75","[{""name"":""edit_file"",""callId"":""call_00_iq7nDoQGNPs499kvT72G3541"",""startSeq"":40,""endSeq"":41},{""name"":""edit_file"",""callId"":""call_00_AtNhiF5rMbQjZ2u9oOwr6097"",""startSeq"":47,""endSeq"":48}]"
"b03-config","full","1","config.mjs","16","33","call_00_jESa9v4RtfNLPmQHKqoo4084","call_00_DhVNUFtmiBe9drVd8u9I6629","true","true","true","true","false","123dfdc2781c0bd9c5129e10510d5984b37a44beb54c07e4e04f5f32dc3c5730","aa75cc51bbb907c13e1b0c658dd3a65ad6d9ca40ac99ee7fd512db67ac9d0f0e","[{""name"":""write_file"",""callId"":""call_00_qEUT8XUrRJWSEolNdoXP1284"",""startSeq"":26,""endSeq"":27}]"
"b03-config","full","1","config.mjs","33","75","call_00_DhVNUFtmiBe9drVd8u9I6629","call_00_SHlFWeq190Zv0jg2gSXw8501","true","true","true","true","false","aa75cc51bbb907c13e1b0c658dd3a65ad6d9ca40ac99ee7fd512db67ac9d0f0e","bb5083d6333f974aca6e2e96756ebe467c0884d1d2add8a2dbc20d6f8912300c","[{""name"":""edit_file"",""callId"":""call_00_ATzc7AQROXvomgsLDqHX6776"",""startSeq"":40,""endSeq"":41},{""name"":""edit_file"",""callId"":""call_00_GFR389T99M5QMZujVQnj5177"",""startSeq"":47,""endSeq"":48},{""name"":""edit_file"",""callId"":""call_00_MoHhTofUs4QmyPX8NRCn3320"",""startSeq"":54,""endSeq"":55},{""name"":""edit_file"",""callId"":""call_00_eK7bOd72J90VbsjyHQuI8426"",""startSeq"":61,""endSeq"":62},{""name"":""edit_file"",""callId"":""call_00_NNBDQ97KvoJ5W5DwoHuq5975"",""startSeq"":68,""endSeq"":69}]"
"b03-config","full","1","public.test.mjs","19","106","call_01_ZIznQ55aby8DpVZcPnzY8756","call_00_LuoFRCQqTZSYx6Gxd8j44366","true","true","true","true","true","cf86e0fc3ae6220befd9579a627581dc50175feb2c9c6c72c11f6a62a026ee10","cf86e0fc3ae6220befd9579a627581dc50175feb2c9c6c72c11f6a62a026ee10","[]"
