"taskId","variant","repeat","name","canonicalArguments","occurrences","repeats","startSeqs","dispatchedStartSeqs"
"b01-normalize","baseline","1","read_file","{""path"":""normalize.mjs""}","2","1","[7,21]","[7,21]"
"b01-normalize","context","1","read_file","{""path"":""normalize.mjs""}","2","1","[7,21]","[7,21]"
"b01-normalize","optimizer","1","read_file","{""path"":""normalize.mjs""}","2","1","[16,33]","[16,33]"
"b01-normalize","full","1","read_file","{""path"":""normalize.mjs""}","2","1","[9,23]","[9,23]"
"b02-counter","optimizer","1","read_file","{""path"":""counter.mjs""}","2","1","[12,33]","[12,33]"
"b03-config","optimizer","1","list_files","{""path"":"".""}","2","1","[9,61]","[9,61]"
"b03-config","optimizer","1","read_file","{""path"":""config.mjs""}","3","2","[16,33,68]","[16,33,68]"
"b03-config","full","1","list_files","{""path"":"".""}","2","1","[9,99]","[9,99]"
"b03-config","full","1","read_file","{""path"":""config.mjs""}","3","2","[16,33,75]","[16,33,75]"
"b03-config","full","1","read_file","{""path"":""public.test.mjs""}","2","1","[19,106]","[19,106]"
"b03-config","baseline","1","read_file","{""path"":""config.mjs""}","3","2","[7,35,49]","[7,35,49]"
"b03-config","context","1","read_file","{""path"":""config.mjs""}","3","2","[7,35,49]","[7,35,49]"
"f01-tags","full","1","read_file","{""path"":""tags.mjs""}","2","1","[16,33]","[16,33]"
"f01-tags","baseline","1","list_files","{""path"":"".""}","2","1","[7,38]","[7,38]"
"f01-tags","baseline","1","read_file","{""path"":""tags.mjs""}","2","1","[14,31]","[14,31]"
"f01-tags","context","1","list_files","{""path"":"".""}","2","1","[7,38]","[7,38]"
"f01-tags","context","1","read_file","{""path"":""tags.mjs""}","2","1","[14,31]","[14,31]"
"f01-tags","optimizer","1","read_file","{""path"":""tags.mjs""}","2","1","[16,33]","[16,33]"
"f02-pagination","baseline","1","read_file","{""path"":""pagination.mjs""}","2","1","[7,21]","[7,21]"
"f03-ranges","context","1","read_file","{""path"":""ranges.mjs""}","2","1","[14,31]","[14,31]"
"f03-ranges","optimizer","1","read_file","{""path"":""ranges.mjs""}","2","1","[16,33]","[16,33]"
"f03-ranges","full","1","list_files","{""path"":"".""}","2","1","[9,54]","[9,54]"
"f03-ranges","full","1","read_file","{""path"":""ranges.mjs""}","2","1","[16,33]","[16,33]"
"f03-ranges","full","1","read_file","{""path"":""public.test.mjs""}","2","1","[19,47]","[19,47]"
"f03-ranges","baseline","1","read_file","{""path"":""ranges.mjs""}","2","1","[14,31]","[14,31]"
"h01-config-pipeline","optimizer","1","list_files","{""path"":"".""}","2","1","[9,127]","[9,127]"
"h01-config-pipeline","optimizer","1","read_file","{""path"":""src/index.mjs""}","2","1","[16,85]","[16,85]"
"h01-config-pipeline","optimizer","1","read_file","{""path"":""src/env-config.mjs""}","2","1","[32,137]","[32]"
"h01-config-pipeline","optimizer","1","read_file","{""path"":""src/merge.mjs""}","2","1","[35,134]","[35,134]"
"h01-config-pipeline","optimizer","1","read_file","{""path"":""src/validate.mjs""}","2","1","[38,139]","[38]"
"h01-config-pipeline","full","1","list_files","{""path"":"".""}","2","1","[9,99]","[9,99]"
"h01-config-pipeline","full","1","read_file","{""path"":""src/index.mjs""}","2","1","[16,92]","[16,92]"
"h01-config-pipeline","full","1","read_file","{""path"":""src/defaults.mjs""}","2","1","[26,128]","[26]"
"h01-config-pipeline","full","1","read_file","{""path"":""src/file-config.mjs""}","2","1","[29,130]","[29]"
"h01-config-pipeline","full","1","read_file","{""path"":""src/env-config.mjs""}","2","1","[32,109]","[32,109]"
"h01-config-pipeline","full","1","read_file","{""path"":""src/merge.mjs""}","2","1","[35,106]","[35,106]"
"h01-config-pipeline","full","1","read_file","{""path"":""src/validate.mjs""}","2","1","[38,112]","[38,112]"
