"taskId","variant","repeat","callId","name","path","errorCode","startSeq","endSeq","nextWorkerRequestSeq","nextSuccessfulWorkerResponseSeq","laterSameKeySuccessfulStartSeqs","laterSamePathSuccessfulStartSeqs","laterToolStartSeqs","correctionConclusion"
"b03-config","optimizer","1","call_00_CQenu0u5uUohfAvuNHIv0055","write_file","_tmp_check.mjs","permission_denied","54","55","58","59","[]","[]","[61,68]","null"
"b03-config","full","1","call_00_Ba3tzeWHfFxvAtINDf6r1770","write_file","/tmp/check.mjs","permission_denied","82","83","86","87","[]","[]","[89,99,106]","null"
"b03-config","full","1","call_00_12wKgt0VmBjk1OlyAPi16527","write_file","check.tmp.mjs","permission_denied","89","90","96","97","[]","[]","[99,106]","null"
"f03-ranges","full","1","call_00_oqDbvDpTmoEta3EDEXX05403","edit_file","public.test.mjs","permission_denied","40","41","44","45","[]","[47]","[47,54]","null"
"h01-config-pipeline","optimizer","1","call_00_UjcglMcZmR3JnO2O52Ww0477","write_file","public.test.mjs","permission_denied","92","93","96","97","[]","[]","[99,106,113,120,127,134]","null"
"h01-config-pipeline","optimizer","1","call_00_Zh6iQIWophEmclqYplFE7217","write_file","scratch.test.mjs","permission_denied","99","100","103","104","[]","[]","[106,113,120,127,134]","null"
"h01-config-pipeline","optimizer","1","call_00_8VJEGZv46E0lj9QEZfGM3708","write_file","src/scratch.test.mjs","permission_denied","106","107","110","111","[]","[]","[113,120,127,134]","null"
"h01-config-pipeline","optimizer","1","call_00_ys8SetAofcocZkp9MAB97447","edit_file","src/index.mjs","permission_denied","113","114","117","118","[]","[]","[120,127,134]","null"
"h01-config-pipeline","full","1","call_00_dDotN6SGxM9pgo8AriOs3932","write_file","src/file-config.mjs","permission_denied","85","86","89","90","[]","[]","[92,99,106,109,112,122,125]","null"
"h01-config-pipeline","baseline","1","call_00_HDdOMgZqTH9OBEqzoPSk1205","write_file","src/file-config.mjs","permission_denied","65","66","69","70","[]","[82]","[72,75,82,85,92,99,102,109,116]","null"
"h01-config-pipeline","context","1","call_00_5lZ0mDz0lA8Jdab5sACs7802","write_file","src/file-config.mjs","permission_denied","68","69","72","73","[]","[]","[75,82,89,92,99,109,112,115]","null"
"h01-config-pipeline","context","1","call_00_HBAtgvLvSLKstlhlrFPn3892","edit_file","src/file-config.mjs","permission_denied","75","76","79","80","[]","[]","[82,89,92,99,109,112,115]","null"
"m01-report","context","1","call_00_YHUQeShAc3APycJhqbgz4468","edit_file","public.test.mjs","permission_denied","47","48","51","52","[]","[]","[54]","null"
"b03-config","full","2","call_00_I0m4KzmWQYGNYimATQhP5513","write_file","_check.mjs","permission_denied","54","55","58","59","[]","[]","[61,68,75,82]","null"
"b03-config","full","2","call_00_Ti1sgfvrNkqLTM3lgQDq7655","edit_file","public.test.mjs","permission_denied","68","69","72","73","[]","[]","[75,82]","null"
