"variant","suite","passed","attempts","rate","requestsTotal","worker","optimizer","summary","tokensInputKnown","tokensInputTotal","tokensOutputKnown","tokensOutputTotal","tokensCombinedKnown","tokensCombinedTotal","tokensCompleteness","latencyMeanMs","latencyMedianMs","latencyPeakMs","workerContextMeanEstimatedTokens","workerContextPeakEstimatedTokens","requestCharsMean","requestCharsPeak","toolCalls","toolErrors","compactions","thresholdRequests","eligibleCompactionRequests","termination"
"baseline","S","21","24","0.875","136","136","0","0","229955","229955","32737","32737","262692","262692","1","6602.725871166673","5908.266527499989","17986.421799000003","1443.4632352941176","5880","6195.845588235294","24216","152","1","0","0","0","{""completed"":24}"
"baseline","H","4","12","0.3333333333333333","102","102","0","0","422869","422869","41993","41993","464862","464862","1","14435.389475583355","14955.248673500028","25764.909203000017","3811.294117647059","10130","16019.676470588236","41655","259","8","0","14","12","{""completed"":4,""model_error"":2,""tool_limit"":6}"
"baseline","overall","25","36","0.6944444444444444","238","238","0","0","652824","652824","74730","74730","727554","727554","1","9213.613739305567","7746.168843000021","25764.909203000017","2458.247899159664","10130","10406.058823529413","41655","411","9","0","14","12","{""completed"":28,""model_error"":2,""tool_limit"":6}"
"context","S","20","24","0.8333333333333334","140","140","0","0","248937","248937","32641","32641","281578","281578","1","6725.29107325002","5211.36848450001","15140.788113000104","1515.9","5323","6495.142857142857","21949","158","2","0","0","0","{""completed"":24}"
"context","H","3","12","0.25","98","93","0","5","356541","356541","38577","38577","395118","395118","1","13558.979815916655","13684.226814000052","22577.5652999999","3410.2473118279568","7783","14358.129032258064","31984","261","7","5","7","5","{""completed"":3,""model_error"":2,""tool_limit"":7}"
"context","overall","23","36","0.6388888888888888","238","233","0","5","605478","605478","71218","71218","676696","676696","1","9003.187320805566","7490.594328999927","22577.5652999999","2272.012875536481","7783","9633.587982832618","31984","419","9","5","7","5","{""completed"":27,""model_error"":2,""tool_limit"":7}"
"optimizer","S","21","24","0.875","164","140","24","0","313048","313048","40064","40064","353112","353112","1","7948.235948999992","5405.300648500037","24692.551880000043","1941.2142857142858","7981","8207.107142857143","32700","163","7","0","4","4","{""completed"":24}"
"optimizer","H","3","12","0.25","120","108","12","0","457315","457315","46556","46556","503871","503871","1","16471.209577916667","17956.488688500045","24324.835911000002","3893.472222222222","9448","16320.87037037037","38991","247","10","0","15","15","{""completed"":3,""model_error"":3,""tool_limit"":6}"
"optimizer","overall","24","36","0.6666666666666666","284","248","36","0","770363","770363","86620","86620","856983","856983","1","10789.227158638885","9082.14412100002","24692.551880000043","2791.391129032258","9448","11740.520161290322","38991","410","17","0","19","19","{""completed"":27,""model_error"":3,""tool_limit"":6}"
"full","S","19","24","0.7916666666666666","177","151","24","2","351413","351413","41393","41393","392806","392806","1","8309.787981041669","5736.315516999981","20488.34044499992","1986.291390728477","5921","8396.423841059603","24417","172","10","2","2","2","{""completed"":23,""request_limit"":1}"
"full","H","2","12","0.16666666666666666","128","109","12","7","421710","421710","40382","40382","462092","462092","1","15309.927889416655","15282.464970500034","30078.750238000008","3350.853211009174","6122","14084.11009174312","25626","257","2","7","7","7","{""completed"":2,""model_error"":2,""tool_limit"":8}"
"full","overall","21","36","0.5833333333333334","305","260","36","9","773123","773123","81775","81775","854898","854898","1","10643.167950499997","9698.399168499993","30078.750238000008","2558.357692307692","6122","10780.876923076923","25626","429","12","9","9","9","{""completed"":25,""model_error"":2,""request_limit"":1,""tool_limit"":8}"
