"taskId","suite","baselinePassed","baselineOf3","contextPassed","contextOf3","optimizerPassed","optimizerOf3","fullPassed","fullOf3"
"b01-normalize","S","3","1:P 2:P 3:P","3","1:P 2:P 3:P","3","1:P 2:P 3:P","3","1:P 2:P 3:P"
"b02-counter","S","3","1:P 2:P 3:P","3","1:P 2:P 3:P","3","1:P 2:P 3:P","3","1:P 2:P 3:P"
"b03-config","S","3","1:P 2:P 3:P","3","1:P 2:P 3:P","3","1:P 2:P 3:P","2","1:F 2:P 3:P"
"f01-tags","S","3","1:P 2:P 3:P","3","1:P 2:P 3:P","3","1:P 2:P 3:P","3","1:P 2:P 3:P"
"f02-pagination","S","3","1:P 2:P 3:P","3","1:P 2:P 3:P","3","1:P 2:P 3:P","3","1:P 2:P 3:P"
"f03-ranges","S","3","1:P 2:P 3:P","3","1:P 2:P 3:P","3","1:P 2:P 3:P","3","1:P 2:P 3:P"
"m01-report","S","0","1:F 2:F 3:F","0","1:F 2:F 3:F","0","1:F 2:F 3:F","0","1:F 2:F 3:F"
"m02-options","S","3","1:P 2:P 3:P","2","1:F 2:P 3:P","3","1:P 2:P 3:P","2","1:P 2:P 3:F"
"h01-config-pipeline","H","0","1:F 2:F 3:F","0","1:F 2:F 3:F","0","1:F 2:F 3:F","0","1:F 2:F 3:F"
"h02-chunk-parser","H","0","1:F 2:F 3:F","0","1:F 2:F 3:F","0","1:F 2:F 3:F","0","1:F 2:F 3:F"
"h03-module-navigation","H","3","1:P 2:P 3:P","3","1:P 2:P 3:P","3","1:P 2:P 3:P","2","1:F 2:P 3:P"
"h04-issue-refactor","H","1","1:F 2:F 3:P","0","1:F 2:F 3:F","0","1:F 2:F 3:F","0","1:F 2:F 3:F"
